rewards-leaderboard-season-9
Rank;Trader;Estimated Rewards
130;dydx1t29w9d9y58wsy6ua7ht0fj6yf36af3hz6hmxqm;949.2314415136624
131;dydx1cc6vnkn0fcuth2vs6agw4xwzk3xav9tha2pw5s;936.1916775792783
132;dydx14lx2mk9jdwkrgm6pm22xtedsdclpvd86zh9cak;921.3543550941804
133;dydx1ayzj3gthha5arj9ldnzucjd3geknx4qp3np83l;900.4258382978534
134;dydx1z4k7a7pt33c43fwv0q684jhz3w4wvzdur5vtz8;864.7624117122593
135;dydx10cw0va8wpdkfl64kjs56evqnczm9nkwhzszplf;857.6401182807069
136;dydx1crrgndllk59csrjuj76puc6teqhdsyh38efddv;839.2228514026602
137;dydx1nc5rgt8dg6adv78jm96zwrwdlntkvncf7wmnac;830.8080783919648
138;dydx1xxevln3kxzm6g0zgcmp5hl6cxtqmnv8lvfwajv;821.3871566627643
139;dydx1wrk6rfhh0grsk3j6lqtdtt4x98wwyvyap7gg04;818.7679323682878
140;dydx170zwqergs9rd6jj5yzcqa6ufya5nx9dsg3c4r9;818.4831045810906
141;dydx14xjyvghhcfh77lz6f3xvy45992y09xjfew6ury;796.3775362211533
142;dydx1r4gk7uac4g8wa2lgey0nm7mnx7vafttg2mxxxa;786.4677205657958
143;dydx1xa0r3wstgcd552qjdyccnkf362sv37uk6klsua;777.1081439858431
144;dydx1z7lza7txd6f73tsxvvmrfya76j3lgapajwfqpc;767.5995440014688
145;dydx14uyu7u4epeek6n5zevq2yehcxjm9gs9n0y2fev;764.7427908940465
146;dydx147r8s5zest9fd4fvlvjtek0pq4d8vsxmkqrx29;761.4415416252053
147;dydx17j2e90u9yf7gd7ex69w4n7hqfy5pt9rwrqnqhq;737.6429662808034
148;dydx1vg8g0rkrtv35pag20u082gj8n4k7tths7ap0zm;723.4251137547274
149;dydx18pnlshm4q5yylsak535dqtd97fezu537rhk0t3;716.1144639250927
150;dydx1zmu7fpr3nhdv8puv6ggue8z875ecjvm5rrhua0;708.1252983500472
151;dydx18scsz5rdh242lnlnsgwxu5f5pmtf8cqw0pl58c;696.9121174070849
152;dydx1xp5ux8xuy7xxxnyvh8sa35ssxz3r8gmc59jnah;693.2672260441406
153;dydx1r47ct7knjas3mz0w8vm6e30r5s2gkqgns5fwad;686.9112253777511
154;dydx10u2jnvfa8fwrmktdncz08dt6px9h2zsuk8mdsc;685.9976036379786
155;dydx148aenxefvs4suqvk7k5g5gn0llxgm7v0muadrh;663.1376158671322
156;dydx1eue0sumfls5hu59ka0ut49unxdn40q2lu2c7hp;647.9269478407407
157;dydx1kn4e686xfcuwvntsy74rh9ktf72fhhfxzlc85y;646.8592132343251
158;dydx1nvuqg7755yzeun2vkulltlnx854uxm0gur6m0p;645.3774389935978
159;dydx1mf5myafs9vtt0erqpnfrk447g5fd5aa4sqx9t8;626.8628674002993
160;dydx1xhwz5sdhqehj8h8v0mgt9p3kq72cpw6kt9jpk3;621.4102046118752
161;dydx1kh3y0luvxv32rxuzswz9ea39fr6psycl7t550p;621.3026993674293
162;dydx1awp7h7qm7lmf8qe4ecvx9xmcpvmfp544s3qrvq;620.3370410399975
163;dydx1wc56ynllpnpnsln0slx2tft0udna62s4xnfetz;618.7340980925726
164;dydx19cgkf9vdvmvdcg27d0zn7e9z2klttf0us6wp09;613.1332174483257
165;dydx19gvq2407chnwy0qz7ra83cktfymnwy0nn08puz;610.8544716950254
166;dydx1qcslanrp92v7r37w9qx867l5lghk5r5yfc5ajy;610.3923121058973
167;dydx19rg50jf2m4k0pr3krcgl4cpfxycjd8y7qdnm2t;600.7750679980238
168;dydx1xm4wwmdu3sltx32euan6nhvtxmr3g76v9rfefa;597.6516289220441
169;dydx1a4nf20veedyr5h9ncgvxzy7jfpavqerxannn2z;597.6374099090343
170;dydx1ygl0wyse7vn2a2zxjls97jgnc8wfrn3mclwryk;596.1727867547615
171;dydx1urnexammlu4flqk898t8d8cx80yygf75gn25sm;595.3964724712038
172;dydx1emmw8a80e8mshzyt0f52yrxmc456kare7276wy;595.2997850345726
173;dydx1jj7xlmpxvgz0pq03ahp05e8gmawhm6ttl2us9x;593.7592736467666
174;dydx1st9u6puqvv38hf3jyvce8f9j0gvlprze9jqa8f;587.4228067623046
175;dydx1wyhxdz7aej4ze80f3szmdveufz56zanhv6ej7t;585.1587707585168
176;dydx12xncujdc2stv4w0u9vr08hqmrhgvssmys7n2cl;575.6033501908217
177;dydx1e6k4ajxkemgswphdgp8m8wfvlcullq2pf0ufa5;573.7053634950402
178;dydx1jx7g5ljdzruf3hwwwc7ae9r4yzd55jhh24wzxc;558.0559585167533
179;dydx1zqgese9vvr338c2c63f27gwcg9h8npsstnvsda;555.3269604789031
180;dydx1xphjfvxd28npmsttdv26gj5u2dd363s50hv20w;549.9802751703398
